stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type,parent_station
10017,STROC,Saint Roch,,+41.922251,+08.737441,1,
20017,STROC1,Saint Roch,,+41.922201,+08.737342,0,10017
10018,PREFE,Préfecture,,+41.919535,+08.736908,1,
20018,PREFE1,Préfecture,,+41.919531,+08.736838,0,10018
10019,PLDGA,Place de Gaulle,,+41.918008,+08.734373,1,
20019,PLDGA1,Place de Gaulle,,+41.917796,+08.734431,0,10019
10020,CATHE,Cathédrale,,+41.918103,+08.737069,1,
20020,CATHE2,Cathédrale,,+41.918103,+08.737069,0,10020
20021,PREFE2,Préfecture,,+41.919539,+08.736978,0,10018
20022,STROC2,Saint Roch,,+41.922302,+08.737541,0,10017
20023,ABBAT2,Abbatucci,,+41.925494,+08.738201,0,10016
20024,STLUC2,Sainte Lucie,,+41.927450,+08.738609,0,10015
20025,STJEA2,Saint Jean,,+41.931071,+08.739902,0,10014
20125,LCANS2,Les Cannes,,+41.933222,+08.743059,0,10013
20280,PRIMP4,Prince Impérial,,+41.934969,+08.745708,0,10012
20279,LSALI2,Les Salines,,+41.935057,+08.749361,0,10011
10021,SACFC,Les Salines CFC,,+41.933872,+08.751708,1,
20027,SACFC2,Les Salines CFC,,+41.933872,+08.751708,0,10021
20028,ZACPE2,Zone d'Activité Pole Emploi,,+41.933132,+08.754758,0,10010
20029,STJOS2,Saint Joseph,,+41.930588,+08.756985,0,10009
10022,ASPRE,Aspretto,,+41.929595,+08.761433,1,
20030,ASPRE2,Aspretto,,+41.929611,+08.760415,0,10022
20031,ALDSO2,Alzo di Sole,,+41.930027,+08.762695,0,10008
20032,SFCOT2,Stade François Coty,,+41.929735,+08.775366,0,10007
20033,COTIM2,Coteaux de Timizzolo,,+41.930027,+08.783364,0,10006
20034,CORCO2,Corse Composite,,+41.930537,+08.787376,0,10005
20035,VAZZI2,Vazzio,,+41.932884,+08.788116,0,10004
20036,ESPFU2,Espace Funéraire,,+41.931403,+08.789908,0,10003
10048,CONFI,Confina,,+41.950763,+08.782631,1,
20071,CONFI1,Confina,,+41.950763,+08.782631,0,10048
10049,PTCON,Pont de la Confina,,+41.951975,+08.784692,1,
20072,PTCON1,Pont de la Confina,,+41.951928,+08.784701,0,10049
10050,MEZZA,Mezzavia,,+41.952390,+08.780736,1,
20073,MEZZA1,Mezzavia,,+41.952475,+08.781053,0,10050
10051,MAANN,Mairie Annexe,,+41.952063,+08.778617,1,
20074,MAANN1,Mairie Annexe,,+41.952100,+08.778575,0,10051
10052,ACQUA,Acqualonga,,+41.952020,+08.775858,1,
20075,ACQUA1,Acqualonga,,+41.952061,+08.776151,0,10052
10053,ACQST,Acqualonga Stade,,+41.951038,+08.772807,1,
20076,ACQST1,Acqualonga Stade,,+41.951542,+08.773199,0,10053
10054,RANUC,Ranucchietto,,+41.949094,+08.767091,1,
20077,RANUC1,Ranucchietto,,+41.949108,+08.766982,0,10054
10055,SUART,Suartello,,+41.947465,+08.763057,1,
20078,SUART1,Suartello,,+41.947488,+08.762964,0,10055
10056,ROCAD,Rocade,,+41.944955,+08.758554,1,
20079,ROCAD1,Rocade,,+41.945405,+08.758775,0,10056
10057,APF,APF,,+41.942694,+08.756924,1,
20080,APF1,APF,,+41.942753,+08.756850,0,10057
10058,ORDBO,Orée des Bois,,+41.941276,+08.756084,1,
20081,ORDBO1,Orée des Bois,,+41.941352,+08.755981,0,10058
10059,MADUN,Madunuccia,,+41.938969,+08.755112,1,
20082,MADUN1,Madunuccia,,+41.938718,+08.754640,0,10059
10060,LEPAN,LEP Antonini,,+41.935528,+08.753695,1,
20083,LEPAN1,LEP Antonini,,+41.935645,+08.753363,0,10060
10035,MARCA,Marcaggi,,+41.916574,+08.731774,1,
20058,MARCA1,Marcaggi,,+41.916505,+08.731514,0,10035
10036,ALMIM,Allée des Mimosas,,+41.915234,+08.730356,1,
20059,ALMIM1,Allée des Mimosas,,+41.914937,+08.729981,0,10036
10037,PLMIO,Place Miot,,+41.913840,+08.728699,1,
20060,PLMIO1,Place Miot,,+41.913615,+08.728189,0,10037
10038,TROTT,Trottel,,+41.913016,+08.726067,1,
20061,TROTT1,Trottel,,+41.912978,+08.725334,0,10038
10039,PRBER,Parc Berthault,,+41.911805,+08.722438,1,
20062,PRBER1,Parc Berthault,,+41.911895,+08.722410,0,10039
10040,LMOUE,Les Mouettes,,+41.910005,+08.720979,1,
20063,LMOUE1,Les Mouettes,,+41.910051,+08.720898,0,10040
10041,CHDGR,Chapelle des Grecs,,+41.908952,+08.718788,1,
20064,CHDGR1,Chapelle des Grecs,,+41.909024,+08.718790,0,10041
10042,LGALE,Les Galets,,+41.908785,+08.716031,1,
20065,LGALE1,Les Galets,,+41.908841,+08.716172,0,10042
10043,SCHAP,Sept Chapelles,,+41.908764,+08.713443,1,
20066,SCHAP1,Sept Chapelles,,+41.908830,+08.713217,0,10043
10044,RESIL,Résidences des Iles,,+41.908735,+08.710351,1,
20067,RESIL1,Résidences des Iles,,+41.908797,+08.710186,0,10044
10045,NCIME,Nouveau Cimetière,,+41.907940,+08.706979,1,
20068,NCIME1,Nouveau Cimetière,,+41.907998,+08.706972,0,10045
10046,ANCIM,Ancien Cimetière,,+41.907946,+08.704438,1,
20069,ANCIM1,Ancien Cimetière,,+41.908003,+08.704456,0,10046
10047,LCRET,Les Crêtes,,+41.908471,+08.702463,1,
20070,LCRET1,Les Crêtes,,+41.908557,+08.702424,0,10047
20084,LCRET2,Les Crêtes,,+41.908386,+08.702502,0,10047
20085,ANCIM2,Ancien Cimetière,,+41.907890,+08.704421,0,10046
20086,NCIME2,Nouveau Cimetière,,+41.907882,+08.706986,0,10045
20087,RESIL2,Résidences des Iles,,+41.908673,+08.710516,0,10044
