object_id,object_system,object_code
stop_point:59658,source,stop_point:59658
stop_point:59469,source,stop_point:59469
stop_point:59246,source,stop_point:59246
stop_point:59414,source,stop_point:59414
stop_point:59212,source,stop_point:59212
stop_point:59463,source,stop_point:59463
stop_point:59464,source,stop_point:59464
stop_point:59475,source,stop_point:59475
stop_point:59273,source,stop_point:59273
stop_point:59557,source,stop_point:59557
stop_point:59472,source,stop_point:59472
stop_point:59558,source,stop_point:59558
stop_point:59473,source,stop_point:59473
stop_point:59247,source,stop_point:59247
stop_point:59468,source,stop_point:59468
stop_point:59471,source,stop_point:59471
stop_point:59245,source,stop_point:59245
stop_point:59467,source,stop_point:59467
stop_point:59561,source,stop_point:59561
stop_point:59466,source,stop_point:59466
stop_point:59559,source,stop_point:59559
stop_point:59465,source,stop_point:59465
stop_point:59562,source,stop_point:59562
stop_point:59482,source,stop_point:59482
stop_point:59565,source,stop_point:59565
stop_point:59484,source,stop_point:59484
stop_point:59483,source,stop_point:59483
stop_point:59563,source,stop_point:59563
stop_point:59564,source,stop_point:59564
stop_point:59204,source,stop_point:59204
stop_point:59686,source,stop_point:59686
stop_point:59621,source,stop_point:59621
stop_point:59504,source,stop_point:59504
stop_point:59505,source,stop_point:59505
stop_point:59492,source,stop_point:59492
stop_point:59496,source,stop_point:59496
stop_point:59395,source,stop_point:59395
stop_point:59394,source,stop_point:59394
stop_point:59495,source,stop_point:59495
stop_point:59493,source,stop_point:59493
stop_point:59207,source,stop_point:59207
stop_point:59485,source,stop_point:59485
stop_point:59617,source,stop_point:59617
stop_point:59619,source,stop_point:59619
stop_point:59500,source,stop_point:59500
stop_point:59249,source,stop_point:59249
stop_point:59490,source,stop_point:59490
stop_point:59494,source,stop_point:59494
stop_point:59489,source,stop_point:59489
stop_point:59445,source,stop_point:59445
stop_point:59620,source,stop_point:59620
stop_point:59481,source,stop_point:59481
stop_point:59487,source,stop_point:59487
stop_point:59497,source,stop_point:59497
stop_point:59274,source,stop_point:59274
stop_point:59618,source,stop_point:59618
stop_point:59341,source,stop_point:59341
stop_point:59488,source,stop_point:59488
stop_point:59616,source,stop_point:59616
stop_point:59499,source,stop_point:59499
stop_point:59486,source,stop_point:59486
stop_point:59248,source,stop_point:59248
stop_point:59498,source,stop_point:59498
stop_point:59501,source,stop_point:59501
stop_point:59491,source,stop_point:59491
stop_point:59508,source,stop_point:59508
stop_point:59506,source,stop_point:59506
stop_point:59507,source,stop_point:59507
stop_point:59595,source,stop_point:59595
stop_point:59596,source,stop_point:59596
stop_point:59662,source,stop_point:59662
stop_point:59228,source,stop_point:59228
stop_point:59230,source,stop_point:59230
stop_point:59227,source,stop_point:59227
stop_point:59233,source,stop_point:59233
stop_point:59238,source,stop_point:59238
stop_point:59225,source,stop_point:59225
stop_point:59590,source,stop_point:59590
stop_point:59585,source,stop_point:59585
stop_point:59231,source,stop_point:59231
stop_point:59591,source,stop_point:59591
stop_point:59226,source,stop_point:59226
stop_point:59235,source,stop_point:59235
stop_point:59592,source,stop_point:59592
stop_point:59232,source,stop_point:59232
stop_point:59234,source,stop_point:59234
stop_point:59236,source,stop_point:59236
stop_point:59237,source,stop_point:59237
stop_point:59229,source,stop_point:59229
stop_point:59250,source,stop_point:59250
stop_point:59661,source,stop_point:59661
stop_point:59593,source,stop_point:59593
stop_point:59594,source,stop_point:59594
stop_point:59408,source,stop_point:59408
stop_point:59330,source,stop_point:59330
stop_point:59404,source,stop_point:59404
stop_point:59638,source,stop_point:59638
stop_point:59405,source,stop_point:59405
stop_point:59402,source,stop_point:59402
stop_point:59406,source,stop_point:59406
stop_point:59640,source,stop_point:59640
stop_point:59643,source,stop_point:59643
stop_point:59642,source,stop_point:59642
stop_point:59403,source,stop_point:59403
stop_point:59639,source,stop_point:59639
stop_point:59641,source,stop_point:59641
stop_point:59400,source,stop_point:59400
stop_point:59398,source,stop_point:59398
stop_point:59668,source,stop_point:59668
stop_point:59371,source,stop_point:59371
stop_point:59383,source,stop_point:59383
stop_point:59374,source,stop_point:59374
stop_point:59548,source,stop_point:59548
stop_point:59386,source,stop_point:59386
stop_point:59389,source,stop_point:59389
stop_point:59346,source,stop_point:59346
stop_point:59368,source,stop_point:59368
stop_point:59349,source,stop_point:59349
stop_point:59365,source,stop_point:59365
stop_point:59362,source,stop_point:59362
stop_point:59353,source,stop_point:59353
stop_point:59263,source,stop_point:59263
stop_point:59377,source,stop_point:59377
stop_point:59357,source,stop_point:59357
stop_point:59380,source,stop_point:59380
stop_point:59312,source,stop_point:59312
stop_point:59201,source,stop_point:59201
stop_point:59667,source,stop_point:59667
stop_point:59360,source,stop_point:59360
stop_point:8738104:800:C,source,stop_point:8738104:800:C
stop_point:8738103:800:C,source,stop_point:8738103:800:C
stop_point:8738102:800:C,source,stop_point:8738102:800:C
stop_point:8738101:800:C,source,stop_point:8738101:800:C
stop_point:8711127:800:C,source,stop_point:8711127:800:C
stop_point:8727124:800:C,source,stop_point:8727124:800:C
stop_point:8727214:800:C,source,stop_point:8727214:800:C
stop_point:8727120:800:C,source,stop_point:8727120:800:C
stop_point:8727114:800:C,source,stop_point:8727114:800:C
stop_point:8727617:800:C,source,stop_point:8727617:800:C
stop_point:8727605:800:C,source,stop_point:8727605:800:C
stop_point:8727606:800:C,source,stop_point:8727606:800:C
stop_point:8727607:800:C,source,stop_point:8727607:800:C
stop_point:8727608:800:C,source,stop_point:8727608:800:C
stop_point:8727609:800:C,source,stop_point:8727609:800:C
stop_point:8733798:800:C,source,stop_point:8733798:800:C
stop_point:8727610:800:C,source,stop_point:8727610:800:C
stop_point:8727613:800:C,source,stop_point:8727613:800:C
stop_point:8732832:800:C,source,stop_point:8732832:800:C
stop_point:8754702:800:C,source,stop_point:8754702:800:C
stop_point:8754731:800:C,source,stop_point:8754731:800:C
stop_point:8754730:800:C,source,stop_point:8754730:800:C
stop_point:8739303:800:C,source,stop_point:8739303:800:C
stop_point:8739304:800:C,source,stop_point:8739304:800:C
stop_point:8739305:800:C,source,stop_point:8739305:800:C
stop_point:8739306:800:C,source,stop_point:8739306:800:C
stop_point:8739332:800:C,source,stop_point:8739332:800:C
stop_point:8739330:800:C,source,stop_point:8739330:800:C
stop_point:8739307:800:C,source,stop_point:8739307:800:C
stop_point:8739308:800:C,source,stop_point:8739308:800:C
stop_point:8739317:800:C,source,stop_point:8739317:800:C
stop_point:8754320:800:C,source,stop_point:8754320:800:C
stop_point:8754318:800:C,source,stop_point:8754318:800:C
stop_point:8739321:800:C,source,stop_point:8739321:800:C
stop_point:8739300:800:C,source,stop_point:8739300:800:C
stop_point:8739322:800:C,source,stop_point:8739322:800:C
stop_point:8739384:800:C,source,stop_point:8739384:800:C
stop_point:8754519:800:C,source,stop_point:8754519:800:C
stop_point:8754520:800:C,source,stop_point:8754520:800:C
stop_point:8754521:800:C,source,stop_point:8754521:800:C
stop_point:8754522:800:C,source,stop_point:8754522:800:C
stop_point:8754523:800:C,source,stop_point:8754523:800:C
stop_point:8754524:800:C,source,stop_point:8754524:800:C
stop_point:8754545:800:C,source,stop_point:8754545:800:C
stop_point:8754546:800:C,source,stop_point:8754546:800:C
stop_point:8754547:800:C,source,stop_point:8754547:800:C
stop_point:8754548:800:C,source,stop_point:8754548:800:C
stop_point:8754549:800:C,source,stop_point:8754549:800:C
stop_point:8754550:800:C,source,stop_point:8754550:800:C
stop_point:8754551:800:C,source,stop_point:8754551:800:C
stop_point:8754552:800:C,source,stop_point:8754552:800:C
stop_point:8754530:800:C,source,stop_point:8754530:800:C
stop_point:8754528:800:C,source,stop_point:8754528:800:C
stop_point:8754017:800:C,source,stop_point:8754017:800:C
stop_point:8749210:800:C,source,stop_point:8749210:800:C
stop_point:8754529:800:C,source,stop_point:8754529:800:C
stop_point:8754700:800:C,source,stop_point:8754700:800:C
stop_point:8754527:800:C,source,stop_point:8754527:800:C
stop_point:8754526:800:C,source,stop_point:8754526:800:C
stop_point:8754525:800:C,source,stop_point:8754525:800:C
stop_point:8754622:800:C,source,stop_point:8754622:800:C
stop_point:8754620:800:C,source,stop_point:8754620:800:C
stop_point:8754619:800:C,source,stop_point:8754619:800:C
stop_point:8754518:800:C,source,stop_point:8754518:800:C
stop_point:8754517:800:C,source,stop_point:8754517:800:C
stop_point:8754516:800:C,source,stop_point:8754516:800:C
stop_point:8754515:800:C,source,stop_point:8754515:800:C
stop_point:8754514:800:C,source,stop_point:8754514:800:C
stop_point:8754513:800:C,source,stop_point:8754513:800:C
stop_point:8754535:800:C,source,stop_point:8754535:800:C
stop_point:8754629:800:C,source,stop_point:8754629:800:C
stop_point:8754631:800:C,source,stop_point:8754631:800:C
stop_point:8738328:800:C,source,stop_point:8738328:800:C
stop_point:8739357:800:C,source,stop_point:8739357:800:C
stop_point:8739365:800:C,source,stop_point:8739365:800:C
stop_point:8739364:800:C,source,stop_point:8739364:800:C
stop_point:8739363:800:C,source,stop_point:8739363:800:C
stop_point:8739361:800:C,source,stop_point:8739361:800:C
stop_point:8739356:800:C,source,stop_point:8739356:800:C
stop_point:8739354:800:C,source,stop_point:8739354:800:C
stop_point:8739353:800:C,source,stop_point:8739353:800:C
stop_point:8739351:800:C,source,stop_point:8739351:800:C
stop_point:8739350:800:C,source,stop_point:8739350:800:C
stop_point:8739316:800:C,source,stop_point:8739316:800:C
stop_point:8739315:800:C,source,stop_point:8739315:800:C
stop_point:8741441:800:C,source,stop_point:8741441:800:C
stop_point:8775860:800:D,source,stop_point:8775860:800:D
stop_point:8768603:800:D,source,stop_point:8768603:800:D
stop_point:8768115:800:D,source,stop_point:8768115:800:D
stop_point:8760880:800:D,source,stop_point:8760880:800:D
stop_point:8768182:800:D,source,stop_point:8768182:800:D
stop_point:8768210:800:D,source,stop_point:8768210:800:D
stop_point:8768211:800:D,source,stop_point:8768211:800:D
stop_point:8768212:800:D,source,stop_point:8768212:800:D
stop_point:8768213:800:D,source,stop_point:8768213:800:D
stop_point:8768214:800:D,source,stop_point:8768214:800:D
stop_point:8768215:800:D,source,stop_point:8768215:800:D
stop_point:8768218:800:D,source,stop_point:8768218:800:D
stop_point:8768216:800:D,source,stop_point:8768216:800:D
stop_point:8768217:800:D,source,stop_point:8768217:800:D
stop_point:8768200:800:D,source,stop_point:8768200:800:D
stop_point:8768100:800:D,source,stop_point:8768100:800:D
stop_point:8768139:800:D,source,stop_point:8768139:800:D
stop_point:8768138:800:D,source,stop_point:8768138:800:D
stop_point:8768134:800:D,source,stop_point:8768134:800:D
stop_point:8768137:800:D,source,stop_point:8768137:800:D
stop_point:8768131:800:D,source,stop_point:8768131:800:D
stop_point:8754524:800:D,source,stop_point:8754524:800:D
stop_point:8768130:800:D,source,stop_point:8768130:800:D
stop_point:8768180:800:D,source,stop_point:8768180:800:D
stop_point:8768124:800:D,source,stop_point:8768124:800:D
stop_point:8727102:800:D,source,stop_point:8727102:800:D
stop_point:8716478:800:D,source,stop_point:8716478:800:D
stop_point:8727101:800:D,source,stop_point:8727101:800:D
stop_point:8727116:800:D,source,stop_point:8727116:800:D
stop_point:8727619:800:D,source,stop_point:8727619:800:D
stop_point:8727622:800:D,source,stop_point:8727622:800:D
stop_point:8727624:800:D,source,stop_point:8727624:800:D
stop_point:8727623:800:D,source,stop_point:8727623:800:D
stop_point:8727625:800:D,source,stop_point:8727625:800:D
stop_point:8727626:800:D,source,stop_point:8727626:800:D
stop_point:8727628:800:D,source,stop_point:8727628:800:D
stop_point:8727627:800:D,source,stop_point:8727627:800:D
stop_point:8727611:800:D,source,stop_point:8727611:800:D
stop_point:8727600:800:D,source,stop_point:8727600:800:D
stop_point:8768600:800:D,source,stop_point:8768600:800:D
stop_point:8768136:800:D,source,stop_point:8768136:800:D
stop_point:8768135:800:D,source,stop_point:8768135:800:D
stop_point:8768133:800:D,source,stop_point:8768133:800:D
stop_point:8768140:800:D,source,stop_point:8768140:800:D
stop_point:8768141:800:D,source,stop_point:8768141:800:D
stop_point:8768143:800:D,source,stop_point:8768143:800:D
stop_point:8768145:800:D,source,stop_point:8768145:800:D
stop_point:8768160:800:D,source,stop_point:8768160:800:D
stop_point:8768161:800:D,source,stop_point:8768161:800:D
stop_point:8768162:800:D,source,stop_point:8768162:800:D
stop_point:8799063:800:D,source,stop_point:8799063:800:D
stop_point:8768163:800:D,source,stop_point:8768163:800:D
stop_point:8768254:800:D,source,stop_point:8768254:800:D
stop_point:8768252:800:D,source,stop_point:8768252:800:D
stop_point:8768251:800:D,source,stop_point:8768251:800:D
stop_point:8768250:800:D,source,stop_point:8768250:800:D
stop_point:8727103:800:D,source,stop_point:8727103:800:D
stop_point:8768147:800:D,source,stop_point:8768147:800:D
stop_point:8768148:800:D,source,stop_point:8768148:800:D
stop_point:8768151:800:D,source,stop_point:8768151:800:D
stop_point:8768440:800:D,source,stop_point:8768440:800:D
stop_point:8768441:800:D,source,stop_point:8768441:800:D
stop_point:8716479:800:D,source,stop_point:8716479:800:D
stop_point:8775837:810:A,source,stop_point:8775837:810:A
stop_point:8775836:810:A,source,stop_point:8775836:810:A
stop_point:8775835:810:A,source,stop_point:8775835:810:A
stop_point:8775834:810:A,source,stop_point:8775834:810:A
stop_point:8775833:810:A,source,stop_point:8775833:810:A
stop_point:8775832:810:A,source,stop_point:8775832:810:A
stop_point:8775831:810:A,source,stop_point:8775831:810:A
stop_point:8775811:810:A,source,stop_point:8775811:810:A
stop_point:8775810:810:A,source,stop_point:8775810:810:A
stop_point:8775860:810:A,source,stop_point:8775860:810:A
