stop_id,stop_code,stop_name,stop_desc,stop_lon,stop_lat,zone_id,stop_url,location_type,parent_station,stop_timezone,level_id,wheelchair_boarding,platform_code
StationEntrance:59489-IO0,,2|bd Haussmann (Église Saint-Augustin),,2.321571,48.874592,,,2,stop_area:59489,,,0,
StationEntrance:59489-IO1,,2|bd Haussmann (Église Saint-Augustin),,2.321315,48.87463,,,2,stop_area:59489,,,0,
StationEntrance:59489-IO2,,1|bd Malesherbes,,2.321184,48.874461,,,2,stop_area:59489,,,0,
StationEntrance:59489-IO3,,1|bd Malesherbes,,2.321405,48.874432,,,2,stop_area:59489,,,0,
StationEntrance:59490-IO0,,2|av. Franklin D. Roosevelt,,2.309915,48.872399,,,2,stop_area:59490,,,0,
StationEntrance:59490-IO1,,2|av. Franklin D. Roosevelt,,2.30991,48.872269,,,2,stop_area:59490,,,0,
StationEntrance:59490-IO2,,1|r. La Boétie,,2.310137,48.872486,,,2,stop_area:59490,,,0,
StationEntrance:59491-IO0,,2|bd Davout,,2.410989,48.853705,,,2,stop_area:59491,,,0,
StationEntrance:59491-IO1,,1|av. de la Porte de Montreuil,,2.411265,48.85349,,,2,stop_area:59491,,,0,
StationEntrance:59491-IO2,,3|r. d'Avron (Hôpital de la Croix Saint-Simon),,2.410404,48.853633,,,2,stop_area:59491,,,0,
StationEntrance:59491-IO3,,4|r. du Volga,,2.41044,48.853336,,,2,stop_area:59491,,,0,
StationEntrance:59492-IO0,,3|av. Georges Lafont (Stade Pierre de Coubertin),,2.256833,48.837174,,,2,stop_area:59492,,,0,
StationEntrance:59492-IO1,,1|Parc des Princes,,2.2557,48.838543,,,2,stop_area:59492,,,0,
StationEntrance:59492-IO2,,0|Gare Routière,,2.256098,48.83792,,,2,stop_area:59492,,,0,
StationEntrance:59492-IO3,,0|Gare Routière,,2.256059,48.837595,,,2,stop_area:59492,,,0,
StationEntrance:59492-IO4,,4|r. Gudin,,2.25798,48.837972,,,2,stop_area:59492,,,0,
StationEntrance:59492-IO5,,5|av. de Versailles,,2.257802,48.838234,,,2,stop_area:59492,,,0,
StationEntrance:59492-IO6,,2|av. Édouard Vaillant,,2.255889,48.837403,,,2,stop_area:59492,,,0,
StationEntrance:59492-IO7,,2|av. Édouard Vaillant,,2.255627,48.837792,,,2,stop_area:59492,,,0,
StationEntrance:59492-IO8,,6|bd Murat,,2.256684,48.8386,,,2,stop_area:59492,,,0,
StationEntrance:59493-IO0,,2|r. du Ranelagh,,2.270197,48.855428,,,2,stop_area:59493,,,0,
StationEntrance:59493-IO1,,1|av. Mozart,,2.270016,48.855471,,,2,stop_area:59493,,,0,
StationEntrance:59494-IO0,,0|av. Percier - côté des n°s impairs,,2.31429,48.873761,,,2,stop_area:59494,,,0,
StationEntrance:59494-IO1,,0|r. de La Boétie - côté des n°s impairs,,2.315508,48.87379,,,2,stop_area:59494,,,0,
StationEntrance:59494-IO2,,0|r. de La Boétie -côté des n°s pairs,,2.315715,48.874039,,,2,stop_area:59494,,,0,
StationEntrance:59494-IO3,,0|r. de La Boétie - côté des n°s impairs,,2.315701,48.873823,,,2,stop_area:59494,,,0,
StationEntrance:59494-IO4,,0|av. Delcassé - côté des n°s pairs,,2.314308,48.873534,,,2,stop_area:59494,,,0,
StationEntrance:59495-IO0,,1|r. Jasmin,,2.268072,48.852546,,,2,stop_area:59495,,,0,
StationEntrance:59495-IO1,,2|r. Ribera,,2.268202,48.852383,,,2,stop_area:59495,,,0,
StationEntrance:59496-IO0,,2|r. Michel-Ange,,2.259857,48.843034,,,2,stop_area:59496,,,0,
