route_id,service_id,trip_id,trip_headsign,direction_id,block_id
DUA800803571,9567,DUASN631827R01001-1_211964,"631827",1,
DUA800803571,9567,DUASN631828R01001-1_211965,"631828",1,
DUA800803571,9567,DUASN631829R01001-1_211966,"631829",1,
DUA800803571,9567,DUASN631830R01001-1_211967,"631830",1,
DUA800803571,9567,DUASN631831R01001-1_211968,"631831",1,
DUA800803571,9567,DUASN631832R01001-1_211969,"631832",1,
DUA800803571,9567,DUASN631833R01001-1_211970,"631833",1,
DUA800803571,9567,DUASN631834R01001-1_211971,"631834",1,
DUA800803571,9567,DUASN631835R01001-1_211972,"631835",1,
DUA800803571,9567,DUASN631836R01001-1_211973,"631836",1,
DUA800803571,9567,DUASN631837R01001-1_211974,"631837",1,
DUA800803571,9567,DUASN631838R01001-1_211975,"631838",1,
DUA800803571,9567,DUASN631839R01001-1_211976,"631839",1,
DUA800803571,9567,DUASN631840R01001-1_211977,"631840",1,
DUA800803571,9567,DUASN631841R01001-1_211978,"631841",1,
DUA800803571,9567,DUASN631842R01001-1_211979,"631842",1,
DUA800803571,9567,DUASN631843R01001-1_211980,"631843",1,
DUA800803571,9567,DUASN631844R01001-1_211981,"631844",1,
DUA800803571,9567,DUASN631845R01001-1_211982,"631845",1,
DUA800803571,9567,DUASN631846R01001-1_211983,"631846",1,
DUA800803571,9567,DUASN631847R01001-1_211984,"631847",1,
DUA800803571,9567,DUASN631848R01001-1_211985,"631848",1,
DUA800803571,9567,DUASN631849R01001-1_211986,"631849",1,
DUA800803571,9567,DUASN631850R01001-1_211987,"631850",1,
DUA800803571,9567,DUASN631851R01001-1_211988,"631851",1,
DUA800803571,9567,DUASN631852R01001-1_211989,"631852",1,
DUA800803571,9567,DUASN631853R01001-1_211990,"631853",1,
DUA800803571,9567,DUASN631854R01001-1_211991,"631854",1,
DUA800803571,9567,DUASN631855R01001-1_211992,"631855",1,
DUA800803571,9567,DUASN631856R01001-1_211993,"631856",1,
DUA800803571,9567,DUASN631857R01001-1_211994,"631857",1,
DUA800803571,9567,DUASN631858R01001-1_211995,"631858",1,
DUA800803571,9567,DUASN631859R01001-1_211996,"631859",1,
DUA800803571,9567,DUASN631860R01001-1_211997,"631860",1,
DUA800803571,9567,DUASN631861R01001-1_211998,"631861",1,
DUA800803571,9567,DUASN631862R01001-1_211999,"631862",1,
DUA800803571,9567,DUASN631863R01001-1_212000,"631863",1,
DUA800803571,9567,DUASN631864R01001-1_212001,"631864",1,
DUA800803571,9567,DUASN631865R01001-1_212002,"631865",1,
DUA800803571,9567,DUASN631866R01001-1_212003,"631866",1,
DUA800803571,9567,DUASN631867R01001-1_212004,"631867",1,
DUA800803571,9567,DUASN631868R01001-1_212005,"631868",1,
DUA800803571,9567,DUASN631869R01001-1_212006,"631869",1,
DUA800803571,9567,DUASN631870R01001-1_212007,"631870",1,
DUA800803571,9567,DUASN631871R01001-1_212008,"631871",1,
DUA800803571,9567,DUASN631872R01001-1_212009,"631872",1,
DUA800803571,9567,DUASN631873R01001-1_212010,"631873",1,
DUA800803571,9567,DUASN631874R01001-1_212011,"631874",1,
DUA800803571,9567,DUASN631875R01001-1_212012,"631875",1,
DUA800803571,9567,DUASN631876R01001-1_212013,"631876",1,
DUA800803571,9567,DUASN631877R01001-1_212014,"631877",1,
DUA800803571,9567,DUASN631878R01001-1_212015,"631878",1,
DUA800803571,9696,DUASN632450R01001-1_212016,"632450",1,
DUA800803571,9696,DUASN632451R01001-1_212017,"632451",1,
DUA800803571,9696,DUASN632452R01001-1_212018,"632452",1,
DUA800803571,9696,DUASN632453R01001-1_212019,"632453",1,
DUA800803571,9696,DUASN632454R01001-1_212020,"632454",1,
DUA800803571,9696,DUASN632455R01001-1_212021,"632455",1,
DUA800803571,9696,DUASN632456R01001-1_212022,"632456",1,
DUA800803571,9696,DUASN632457R01001-1_212023,"632457",1,
DUA800803571,9696,DUASN632458R01001-1_212024,"632458",1,
DUA800803571,9696,DUASN632459R01001-1_212025,"632459",1,
DUA800803571,9696,DUASN632460R01001-1_212026,"632460",1,
DUA800803571,9696,DUASN632461R01001-1_212027,"632461",1,
DUA800803571,9696,DUASN632462R01001-1_212028,"632462",1,
DUA800803571,9696,DUASN632463R01001-1_212029,"632463",1,
DUA800803571,9696,DUASN632464R01001-1_212030,"632464",1,
DUA800803571,9696,DUASN632465R01001-1_212031,"632465",1,
DUA800803571,9696,DUASN632466R01001-1_212032,"632466",1,
DUA800803571,9696,DUASN632467R01001-1_212033,"632467",1,
DUA800803571,9696,DUASN632468R01001-1_212034,"632468",1,
DUA800803571,9696,DUASN632469R01001-1_212035,"632469",1,
DUA800803571,9696,DUASN632470R01001-1_212036,"632470",1,
DUA800803571,9696,DUASN632471R01001-1_212037,"632471",1,
DUA800803571,9696,DUASN632472R01001-1_212038,"632472",1,
DUA800803571,9696,DUASN632473R01001-1_212039,"632473",1,
DUA800803571,9696,DUASN632474R01001-1_212040,"632474",1,
DUA800803571,9696,DUASN632475R01001-1_212041,"632475",1,
DUA800803571,9696,DUASN632476R01001-1_212042,"632476",1,
DUA800803571,9696,DUASN632477R01001-1_212043,"632477",1,
DUA800803571,9696,DUASN632478R01001-1_212044,"632478",1,
DUA800803571,9696,DUASN632479R01001-1_212045,"632479",1,
DUA800803571,9696,DUASN632480R01001-1_212046,"632480",1,
DUA800803571,9696,DUASN632481R01001-1_212047,"632481",1,
DUA800803571,9696,DUASN632482R01001-1_212048,"632482",1,
DUA800803571,9696,DUASN632483R01001-1_212049,"632483",1,
DUA800803571,9696,DUASN632484R01001-1_212050,"632484",1,
DUA800803571,9696,DUASN632485R01001-1_212051,"632485",1,
DUA800803571,9696,DUASN632486R01001-1_212052,"632486",1,
DUA800803571,9696,DUASN632487R01001-1_212053,"632487",1,
DUA800803571,9696,DUASN632488R01001-1_212054,"632488",1,
DUA800803571,9696,DUASN632489R01001-1_212055,"632489",1,
DUA800803571,9696,DUASN632490R01001-1_212056,"632490",1,
DUA800803571,9696,DUASN632491R01001-1_212057,"632491",1,
DUA800803571,9696,DUASN632492R01001-1_212058,"632492",1,
DUA800803571,9696,DUASN632493R01001-1_212059,"632493",1,
DUA800803571,9696,DUASN632494R01001-1_212060,"632494",1,
DUA800803571,9696,DUASN632495R01001-1_212061,"632495",1,
DUA800803571,9696,DUASN632496R01001-1_212062,"632496",1,
DUA800803571,9696,DUASN632497R01001-1_212063,"632497",1,
DUA800803571,9696,DUASN632498R01001-1_212064,"632498",1,
DUA800803571,9696,DUASN632499R01001-1_212065,"632499",1,
DUA800803571,9696,DUASN632500R01001-1_212066,"632500",1,
DUA800803571,9696,DUASN632501R01001-1_212067,"632501",1,
DUA800803571,9696,DUASN632502R01001-1_212068,"632502",1,
DUA800803571,9696,DUASN632503R01001-1_212069,"632503",1,
DUA800803571,9696,DUASN632504R01001-1_212070,"632504",1,
DUA800803571,9696,DUASN632505R01001-1_212071,"632505",1,
DUA800803571,9696,DUASN632506R01001-1_212072,"632506",1,
DUA800803571,9696,DUASN632507R01001-1_212073,"632507",1,
DUA800803571,9696,DUASN632508R01001-1_212074,"632508",1,
DUA800803571,9696,DUASN632509R01001-1_212075,"632509",1,
DUA800803571,9696,DUASN632510R01001-1_212076,"632510",1,
DUA800803571,9696,DUASN632511R01001-1_212077,"632511",1,
DUA800803571,9696,DUASN632512R01001-1_212078,"632512",1,
DUA800803571,9696,DUASN632513R01001-1_212079,"632513",1,
DUA800803571,9696,DUASN632514R01001-1_212080,"632514",1,
DUA800803571,9696,DUASN632515R01001-1_212081,"632515",1,
DUA800803571,9696,DUASN632516R01001-1_212082,"632516",1,
DUA800803571,9696,DUASN632517R01001-1_212083,"632517",1,
DUA800803571,9696,DUASN632518R01001-1_212084,"632518",1,
DUA800803571,9696,DUASN632519R01001-1_212085,"632519",1,
