trip_id,route_id,physical_mode_id,dataset_id,service_id,trip_headsign,trip_short_name,block_id,company_id,trip_property_id,geometry_id,journey_pattern_id
113243412-1_208690,100110007:7,Metro,default_dataset,1000,Mairie d'Ivry,,,439,,,
113554833-1_19284,810:B,Train,default_dataset,1000,EPAF,,,741,1,,
113434036-1_192785,100110008:8_R,Metro,default_dataset,1000,Balard,,,439,,,
113501815-1_199621,100110014:14,Metro,default_dataset,1000,Olympiades,,,439,1,,
113244571-1_209667,100110007:7_R,Metro,default_dataset,1000,La Courneuve-8-Mai-1945,,,439,,,
113555135-1_19280,810:B,Train,default_dataset,1000,GNOU,,,741,1,,
113559389-1_22390,810:A,Train,default_dataset,1000,OJIV,,,741,1,,
113755229-1_214654,100110004:4,Metro,default_dataset,1000,Mairie de Montrouge,,,439,,,
113502141-1_199947,100110014:14,Metro,default_dataset,1000,Olympiades,,,439,1,,
113697912-1_197732,100110003:3_R,Metro,default_dataset,1000,Gallieni (Parc de Bagnolet),,,439,,,
113441483-1_181942,100110009:9,Metro,default_dataset,1000,Mairie de Montreuil,,,439,,,
113756762-1_216255,100110004:4_R,Metro,default_dataset,1000,Porte de Clignancourt,,,439,,,
113697951-1_196412,100110003:3,Metro,default_dataset,1000,Pont de Levallois-Bécon,,,439,,,
113561365-1_28270,800:C,Train,default_dataset,1000,DEBA,,,741,1,,
113559271-1_24061,800:D,Train,default_dataset,1000,ZACO,,,741,1,,
113484180-1_196059,100110002:2_R,Metro,default_dataset,1000,Nation,,,439,,,
113708295-1_213745,100110004:4,Metro,default_dataset,1000,Mairie de Montrouge,,,439,,,
113242844-1_208357,100110007:7,Metro,default_dataset,1000,Villejuif-Louis Aragon,,,439,,,
113555382-1_30255,800:C,Train,default_dataset,1000,GOTA,,,741,1,,
113559633-1_21874,810:A,Train,default_dataset,1000,NOTE,,,741,1,,
113474579-1_207194,100110103:3B_R,Metro,default_dataset,1000,Porte des Lilas,,,439,,,
113474537-1_207179,100110103:3B_R,Metro,default_dataset,1000,Porte des Lilas,,,439,,,
113564597-1_24909,800:D,Train,default_dataset,1000,BOVO,,,741,1,,
113554404-1_30389,800:C,Train,default_dataset,1000,MONA,,,741,1,,
113441713-1_183274,100110009:9_R,Metro,default_dataset,1000,Pont de Sèvres,,,439,,,
113480355-1_176873,100110001:1,Metro,default_dataset,1000,La Défense (Grande Arche),,,439,,,
113497048-1_174610,100110011:11,Metro,default_dataset,1000,Châtelet,,,439,,,
113242869-1_208382,100110007:7,Metro,default_dataset,1000,Villejuif-Louis Aragon,,,439,,,
113707818-1_215158,100110004:4_R,Metro,default_dataset,1000,Porte de Clignancourt,,,439,,,
113756038-1_216121,100110004:4_R,Metro,default_dataset,1000,Porte de Clignancourt,,,439,,,
113697983-1_196425,100110003:3,Metro,default_dataset,1000,Pont de Levallois-Bécon,,,439,,,
113492185-1_192409,100110008:8,Metro,default_dataset,1000,Pointe du Lac,,,439,,,
113446129-1_172715,100110010:10,Metro,default_dataset,1000,Gare d'Austerlitz,,,439,,,
113482103-1_178294,100110001:1_R,Metro,default_dataset,1000,Château de Vincennes,,,439,,,
113707910-1_215200,100110004:4_R,Metro,default_dataset,1000,Porte de Clignancourt,,,439,,,
113441736-1_183296,100110009:9_R,Metro,default_dataset,1000,Pont de Sèvres,,,439,,,
113503385-1_201147,100110014:14_R,Metro,default_dataset,1000,Saint-Lazare,,,439,1,,
113567129-1_12839,800:E,Train,default_dataset,1000,TOPA,,,741,1,,
